draftRound,draftPick,playerName,position,age,height,weight,collegeAttended,rushingAttempts,rushingYards,avgYardsPerRush,rushingTouchdowns,receptions,receivingYards,avgYardsPerReception,receivingTouchdowns,passCompletions,passAttempts,passCompletionPercentage,passingYards,avgYardsPerPass,passingTouchdowns,passingInterceptions,fortyYardDash,verticalJump,benchPress,broadJump,threeCone,shuttle
1,21,Daniel Graham,TE,23,190.0,257,Colorado,,,,,106,1543,14.6,11,,,,,,,,4.64,36.0,,118,,
1,25,Charles Grant,DE,24,190.0,282,Georgia,17,79,4.6,3,,,,,,,,,,,,4.69,31.0,24,118,7.69,4.39
1,28,Jerramy Stevens,TE,22,201.0,260,Washington,,,,,74,953,12.9,8,,,,,,,,4.77,,,,,
1,32,Patrick Ramsey,QB,23,188.0,225,Tulane,,,,,,,,,798,1355,58.9,9205,6.8,72,51,5.24,33.5,,112,7.12,4.09
2,33,Jabar Gaffney,WR,21,185.0,205,Florida,,,,,138,2375,17.2,27,,,,,,,,4.56,,,,6.87,4.06
2,34,DeShaun Foster,RB,22,183.0,222,UCLA,696,3087,4.4,39,58,548,9.4,4,,,,,,,,4.57,35.5,20,119,6.82,4.16
2,36,Josh Reed,WR,22,178.0,208,LSU,9,63,7.0,1,167,3001,18.0,17,,,,,,,,4.54,,,,,
2,46,Tim Carter,WR,22,183.0,200,Auburn,24,173,7.2,0,57,842,14.8,4,,,,,,,,4.32,39.0,,126,6.68,3.93
2,47,Andre' Davis,WR,23,185.0,195,Virginia Tech,12,137,11.4,4,110,2094,19.0,19,,,,,,,,4.42,39.5,,123,6.77,4.10
2,48,Reche Caldwell,WR,23,183.0,215,Florida,13,91,7.0,0,141,2088,14.8,18,,,,,,,,4.53,41.5,,130,7.00,4.10
2,51,Clinton Portis,RB,21,180.0,205,Miami (FL),440,2523,5.7,20,21,272,13.0,3,,,,,,,,4.42,,,,,
2,54,Maurice Morris,RB,22,180.0,202,Oregon,466,2237,4.8,17,35,307,8.8,3,,,,,,,,4.53,38.5,23,119,,
2,55,Doug Jolley,TE,23,193.0,250,BYU,1,-9,-9.0,0,52,768,14.8,11,,,,,,,,4.60,38.0,18,117,6.90,4.18
2,56,Ladell Betts,RB,23,178.0,222,Iowa,832,3686,4.4,25,72,702,9.8,2,,,,,,,,4.62,38.0,23,116,7.06,4.06
2,62,Antwaan Randle El,WR,23,178.0,192,Indiana,,,,,,,,,528,1060,49.8,7469,7.0,42,37,4.49,,,,,
2,63,Antonio Bryant,WR,21,185.0,192,Pittsburgh,,,,,161,2805,17.4,26,,,,,,,,4.57,37.0,,121,,
2,65,Deion Branch,WR,23,175.0,193,Louisville,10,36,3.6,0,143,2204,15.4,18,,,,,,,,4.47,36.0,,117,6.71,3.78
3,67,Matt Schobel,TE,23,196.0,257,TCU,,,,,27,378,14.0,6,,,,,,,,,34.5,,,,
3,81,Josh McCown,QB,23,193.0,218,Sam Houston St.,,,,,,,,,340,664,51.2,4022,6.1,27,34,4.59,38.5,,120,6.85,3.90
3,87,Cliff Russell,WR,23,180.0,193,Utah,7,37,5.3,0,124,1862,15.0,10,,,,,,,,4.36,,,,,
3,88,Chris Baker,TE,22,190.0,258,Michigan St.,1,9,9.0,0,133,1705,12.8,13,,,,,,,,4.81,35.0,18,112,6.95,
3,97,Coy Wire,DB,23,183.0,205,Stanford,173,615,3.6,6,19,115,6.1,0,,,,,,,,4.56,38.5,28,120,6.62,3.87
4,99,Jonathan Wells,RB,23,185.0,252,Ohio St.,460,2344,5.1,26,26,233,9.0,0,,,,,,,,4.52,,,,,
4,103,Justin Peelle,TE,23,193.0,255,Oregon,0,6,,0,63,944,15.0,14,,,,,,,,4.75,29.0,21,110,7.34,4.29
4,107,Omar Easy,FB,24,188.0,245,Penn St.,155,659,4.3,5,26,250,9.6,1,,,,,,,,4.53,40.0,21,123,7.25,4.12
4,108,David Garrard,QB,24,185.0,244,East Carolina,,,,,,,,,666,1169,57.0,9029,7.7,60,39,4.82,33.5,,111,7.35,4.26
4,114,Randy McMichael,TE,23,190.0,250,Georgia,,,,,90,1213,13.5,5,,,,,,,,4.88,29.5,18,112,7.58,4.28
4,117,Rohan Davey,QB,24,188.0,245,LSU,,,,,,,,,286,478,59.8,4415,9.2,29,15,4.74,,,,,
4,118,Chris Luzar,TE,23,201.0,262,Virginia,,,,,53,598,11.3,0,,,,,,,,4.76,32.5,22,115,6.84,4.17
4,119,Travis Stephens,RB,24,173.0,194,Tennessee,488,2336,4.8,21,27,200,7.4,1,,,,,,,,4.60,32.0,15,121,,
4,123,Ron Johnson,WR,22,188.0,225,Minnesota,1,-27,-27.0,0,196,2931,15.0,31,,,,,,,,4.70,34.5,,118,7.12,4.02
4,129,Jamar Martin,FB,22,180.0,256,Ohio St.,61,226,3.7,4,21,192,9.1,2,,,,,,,,4.89,32.0,23,108,7.53,4.34
